D:\Projects\Datasets\3dsmax\evaluate\Train\interior\GroundTruth\interior max_Perspective.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\interior\Normals\interior max_Perspective_normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\interior\Position\interior max_Perspective_D_Z Depth.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00036-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00036-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00036-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00037-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00037-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00037-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00038-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00038-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00038-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00039-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00039-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00039-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00040-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00040-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00040-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00041-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00041-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00041-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00042-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00042-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00042-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00043-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00043-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00043-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00044-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00044-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00044-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00045-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00045-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00045-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00046-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00046-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00046-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00047-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00047-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00047-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00048-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00048-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00048-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00049-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00049-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00049-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00050-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00050-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00050-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00051-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00051-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00051-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00052-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00052-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00052-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00053-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00053-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00053-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00054-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00054-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00054-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00055-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00055-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00055-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00056-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00056-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00056-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00057-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00057-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00057-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00058-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00058-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00058-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00059-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00059-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00059-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00060-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00060-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00060-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00061-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00061-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00061-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00062-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00062-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00062-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00063-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00063-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00063-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00064-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00064-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00064-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00065-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00065-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00065-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00066-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00066-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00066-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00067-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00067-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00067-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00068-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00068-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00068-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00069-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00069-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00069-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00070-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00070-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00070-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00071-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00071-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00071-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00072-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00072-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00072-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00073-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00073-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00073-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00074-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00074-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00074-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00075-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00075-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00075-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00076-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00076-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00076-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00077-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00077-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00077-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00078-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00078-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00078-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00079-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00079-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00079-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00080-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00080-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00080-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00081-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00081-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00081-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00082-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00082-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00082-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00083-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00083-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00083-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00084-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00084-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00084-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00085-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00085-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00085-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00086-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00086-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00086-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00087-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00087-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00087-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00088-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00088-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00088-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00089-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00089-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00089-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00090-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00090-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00090-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00091-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00091-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00091-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00092-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00092-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00092-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00093-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00093-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00093-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00094-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00094-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00094-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00095-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00095-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00095-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00096-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00096-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00096-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00097-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00097-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00097-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00098-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00098-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00098-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00099-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00099-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00099-position.exr
D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\GroundTruth\00100-ao.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Normals\00100-normal.exr,D:\Projects\Datasets\3dsmax\evaluate\Train\mesa_props\Position\00100-position.exr
